Mức độ tự tin,Chất lượng giấc ngủ,Áp lực học tập,Lo âu tương lai,Mức độ bị bắt nạt,Hỗ trợ xã hội,Mức độ Stress
8,1,5,5,4,1,2
30,5,0,2,3,1,0
23,2,3,2,2,3,1
17,2,2,2,2,2,1
5,2,4,1,4,1,2
14,1,3,4,5,1,2
25,5,2,1,1,3,0
23,3,2,3,3,2,1
1,1,3,5,4,1,2
27,5,2,1,1,3,0
29,5,2,1,1,3,0
25,4,1,1,1,3,0
25,2,2,3,2,3,1
19,2,2,3,3,2,1
20,1,3,3,4,0,1
3,5,5,5,5,1,1
25,4,1,1,1,3,0
17,4,5,0,4,1,1
16,2,2,3,3,3,1
26,4,2,1,1,3,0
21,3,2,3,3,3,1
11,1,3,5,4,1,2
25,3,3,2,3,3,1
7,0,4,0,4,0,2
25,5,1,1,1,3,0
8,5,1,4,2,0,0
30,0,3,3,1,1,0
23,3,2,2,3,3,1
29,4,2,1,1,3,0
27,5,1,1,1,3,0
26,5,1,1,1,3,0
0,1,5,5,4,1,2
30,4,1,1,1,3,0
3,3,2,1,2,1,2
5,1,4,4,4,1,2
29,3,1,3,0,1,0
27,4,1,1,1,3,0
1,1,4,4,5,1,2
27,5,1,1,4,0,1
22,3,3,3,3,2,1
10,1,4,5,5,1,2
1,1,4,5,4,1,2
26,4,1,1,1,3,0
23,2,2,2,2,2,1
5,1,4,5,5,1,2
28,5,1,1,1,3,0
12,1,4,5,5,1,2
17,3,1,0,2,1,0
25,4,1,1,1,3,0
9,5,0,5,0,0,1
25,2,2,2,3,2,1
10,1,4,5,4,1,2
23,5,5,2,3,1,2
15,1,5,4,5,1,2
13,2,2,2,2,1,0
24,3,3,2,2,2,1
1,1,4,5,5,1,2
20,3,3,3,2,2,1
19,3,2,2,2,3,1
8,3,1,2,2,0,2
19,1,2,4,1,1,0
27,4,1,1,1,3,0
30,4,2,1,1,3,0
29,4,1,1,1,3,0
12,0,0,4,3,1,2
5,4,2,2,5,0,1
11,1,4,4,5,1,2
6,1,4,3,2,1,0
27,5,1,1,1,3,0
17,3,2,2,2,2,1
15,2,3,2,2,2,1
12,1,5,5,5,1,2
12,1,3,4,5,1,2
30,5,2,1,1,3,0
28,4,1,1,1,3,0
26,5,1,1,1,3,0
3,1,4,4,5,1,2
23,0,3,2,0,0,2
14,1,3,5,4,1,2
18,2,2,3,2,3,1
26,5,2,1,1,3,0
25,2,2,2,2,2,1
5,1,4,5,5,1,2
12,1,3,4,4,1,2
13,1,5,4,4,1,2
16,0,1,2,5,0,0
18,2,3,3,3,3,1
16,3,3,2,2,2,1
13,1,5,5,4,1,2
25,5,2,1,1,3,0
28,4,1,1,1,3,0
10,4,3,3,3,1,2
15,1,4,3,3,1,2
7,1,3,5,5,1,2
25,2,2,3,2,2,1
1,1,4,5,5,1,2
4,1,4,0,2,0,2
3,1,5,4,5,1,2
13,0,4,4,1,1,0
29,5,1,1,1,3,0
10,1,4,5,4,1,2
16,3,0,3,5,1,0
11,1,3,1,1,1,0
11,1,4,4,5,1,2
20,3,2,2,3,3,1
30,5,1,1,1,3,0
17,5,1,1,3,0,2
17,3,2,3,3,3,1
12,0,1,1,3,1,2
26,5,1,1,1,3,0
0,1,5,4,4,1,2
6,0,4,3,4,1,2
